0,8.2,11,6.4,7.4,6,8.6,9.1,11,5.1,14,2.4,12,8.3,12,11,3.2,7.9,8.2,12,4.8,14,18,13
8.2,0,2.1,15,7.1,9.3,1,0.6,8,14,8.8,11,4.4,9.9,3.7,2.6,6,12,3.8,13,8.9,6.1,27,4.9
11,2.1,0,17,7.4,11,2.2,1.7,7.7,16,6.7,13,2.3,11,1.6,1.5,7.7,14,5.7,14,11,3.9,29,2.8
6.4,15,17,0,13,11,15,15,14,2.5,20,6.1,18,14,16,14,9.8,13,11,17,9.8,18,14,19
7.4,7.1,7.4,13,0,1.5,6.5,6.9,11,10,9.1,5.9,9.4,3,8.8,10,6,6.8,7.2,6.5,4,11,25,9.9
6,9.3,11,11,1.5,0,7.2,7.3,11,9.4,9.4,4.8,11,3.2,10,9.6,5.6,5.2,6.8,6.7,2.9,15,24,11
8.6,1,2.2,15,6.5,7.2,0,0.45,7.5,13,8.4,10,4,9.8,3.3,2.1,5.4,12,4.9,13,8.9,6.2,27,4.5
9.1,0.6,1.7,15,6.9,7.3,0.45,0,7,13,8.4,10,4,9.8,3.3,2.1,5.4,12,4.4,13,8.9,5.7,27,4.5
11,8,7.7,14,11,11,7.5,7,0,17,14,15,9.3,14,6.7,5.6,9.2,16,4.9,17,13,4.8,27,9.8
5.1,14,16,2.5,10,9.4,13,13,17,0,18,4.3,17,12,17,16,8,11,13,15,7.1,19,15,18
14,8.8,6.7,20,9.1,9.4,8.4,8.4,14,18,0,13,8.1,9.3,7.4,8.4,11,13,12,13,11,10,32,8.6
2.4,11,13,6.1,5.9,4.8,10,10,15,4.3,13,0,14,6.7,14,13,5,6.1,10,10,3.2,17,19,15
12,4.4,2.3,18,9.4,11,4,4,9.3,17,8.1,14,0,12,2.3,3.2,9.3,17,6.4,16,14,5.9,30,0.5
8.3,9.9,11,14,3,3.2,9.8,9.8,14,12,9.3,6.7,12,0,12,12,6.5,4.4,9.5,4.1,4.8,16,26,13
12,3.7,1.6,16,8.8,10,3.3,3.3,6.7,17,7.4,14,2.3,12,0,1.3,8.8,15,4.5,17,12,3.3,28,3.8
11,2.6,1.5,14,10,9.6,2.1,2.1,5.6,16,8.4,13,3.2,12,1.3,0,7.5,14,4.6,16,12,3.6,28,4.2
3.2,6,7.7,9.8,6,5.6,5.4,5.4,9.2,8,11,5,9.3,6.5,8.8,7.5,0,10,5.1,12,4,11,3.8,9.8
7.9,12,14,13,6.8,5.2,12,12,16,11,13,6.1,17,4.4,15,14,10,0,12,6.5,4.6,18,26,17
8.2,3.8,5.7,11,7.2,6.8,4.9,4.4,4.9,13,12,10,6.4,9.5,4.5,4.6,5.1,12,0,12,7.9,6.7,24,7.8
12,13,14,17,6.5,6.7,13,13,17,15,13,10,16,4.1,17,16,12,6.5,12,0,8.2,18,29,17
4.8,8.9,11,9.8,4,2.9,8.9,8.9,13,7.1,11,3.2,14,4.8,12,12,4,4.6,7.9,8.2,0,15,20,13
14,6.1,3.9,18,11,15,6.2,5.7,4.8,19,10,17,5.9,16,3.3,3.6,11,18,6.7,18,15,0,30,6.4
18,27,29,14,25,24,27,27,27,15,32,19,30,26,28,28,3.8,26,24,29,20,30,0,32
13,4.9,2.8,19,9.9,11,4.5,4.5,9.8,18,8.6,15,0.5,13,3.8,4.2,9.8,17,7.8,17,13,6.4,32,0
