Depot (Perusahaan Roti Bobo)
TOKO BUNDA
TOKO MAJU JAYA
TOKO HARIAN AGUS
TOKO SAUDARA JAYA
TOKO AJO BARANG HARIAN
TOKO HARIAN RENI
TOKO DODI JAYA
TOKOBUNDA 2
TOKO RUDI
TOKO ZAKY
TOKO ASRIL JAYA
TOKO ARKHAN
TOKO ZAZIZO
TOKO RAHMAT CIPTA KARYA
TOKO MULYADI
TOKO EDDY JAYA
TOKO AZA
TOKO SENTOSA JAYA
TOKO PAS JAYA
TOKO DONI 
TOKO S & Q
TOKO SEMPURNA JAYA
TOKO BERDUA SATU TUJUAN
